                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0535,                 3.8474,                 4.1446,                0.00378,                0.81667,                0.01349,                0.00467,                 2.8479,                 3.9764,                 4.0362,             0.00046767,             0.00046767,             0.00046767
                      2,                  2.809,                 3.6075,                 3.7334,                0.00367,                    0.8,                0.07771,                0.01613,                 2.9884,                 3.9817,                 3.7306,             0.00090662,             0.00090662,             0.00090662
                      3,                  2.419,                 3.4649,                 3.1933,                 0.0905,                   0.15,                0.08594,                0.02671,                 2.5845,                 4.8335,                 3.6932,              0.0013078,              0.0013078,              0.0013078
                      4,                 2.2136,                 3.2442,                 2.9196,                0.07695,                0.33889,                0.12772,                0.03925,                 2.3882,                 4.9672,                 3.1918,              0.0012592,              0.0012592,              0.0012592
                      5,                 2.0597,                  3.024,                 2.7439,                0.17887,                    0.3,                0.17933,                 0.0645,                 2.0671,                 4.0328,                 2.8825,              0.0012592,              0.0012592,              0.0012592
                      6,                 1.8818,                 2.8488,                 2.5866,                0.16161,                0.26685,                0.18535,                0.09568,                 2.0053,                 3.7233,                 2.9811,              0.0012026,              0.0012026,              0.0012026
                      7,                 1.7774,                 2.6754,                 2.4399,                0.18439,                0.37778,                0.25358,                0.12757,                 1.8152,                 3.7768,                 2.9156,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.6929,                 2.5245,                 2.3622,                0.35552,                0.39444,                0.35934,                0.17614,                 1.9787,                 2.9552,                 2.9862,              0.0010895,              0.0010895,              0.0010895
                      9,                 1.6487,                 2.4303,                 2.2992,                0.28332,                0.38889,                0.27357,                0.13934,                 2.1004,                 2.8139,                 2.9799,              0.0010329,              0.0010329,              0.0010329
                     10,                 1.6071,                 2.3103,                 2.2292,                0.37549,                0.42556,                0.37458,                 0.1866,                 2.0818,                 2.8028,                 2.9824,             0.00097629,             0.00097629,             0.00097629
                     11,                 1.5388,                  2.182,                 2.1446,                0.63234,                0.41111,                0.44861,                0.23214,                 1.7866,                 3.2075,                 2.8856,              0.0009197,              0.0009197,              0.0009197
                     12,                 1.4635,                 2.1431,                 2.0935,                0.45105,                    0.5,                0.40942,                0.16384,                 1.9685,                 2.5785,                 2.8173,             0.00086312,             0.00086312,             0.00086312
                     13,                 1.4493,                 2.1126,                 2.0735,                0.39677,                0.38134,                0.43229,                0.21691,                 1.8916,                   2.66,                 2.8811,             0.00080653,             0.00080653,             0.00080653
                     14,                 1.4014,                 2.0357,                 2.0343,                0.61896,                0.41961,                0.51174,                 0.2424,                 1.8649,                 2.5168,                 2.8313,             0.00074994,             0.00074994,             0.00074994
                     15,                 1.3702,                 1.9925,                 1.9817,                 0.4721,                0.46667,                0.48205,                 0.2303,                 1.9655,                 2.4677,                 2.9076,             0.00069335,             0.00069335,             0.00069335
                     16,                 1.3574,                 1.9564,                 2.2339,                0.60031,                0.51111,                0.60133,                0.28594,                 1.8325,                  2.131,                 2.6171,             0.00063676,             0.00063676,             0.00063676
                     17,                 1.2921,                 1.7615,                 2.1215,                0.62938,                0.42778,                0.53272,                0.25404,                 1.8954,                  2.273,                 2.7205,             0.00058017,             0.00058017,             0.00058017
                     18,                 1.2846,                 1.6352,                 2.1024,                0.58789,                0.53051,                0.53011,                0.27061,                 1.8123,                 2.0425,                 2.6065,             0.00052359,             0.00052359,             0.00052359
                     19,                  1.245,                 1.5445,                 2.0724,                0.53715,                0.62319,                0.56558,                0.28291,                  1.788,                 1.9086,                 2.5888,               0.000467,               0.000467,               0.000467
                     20,                 1.2366,                 1.5251,                 2.0411,                0.63622,                0.56667,                0.66102,                0.32018,                 1.7439,                 1.9626,                 2.4902,             0.00041041,             0.00041041,             0.00041041
                     21,                 1.2002,                 1.4912,                 2.0091,                0.49928,                0.58889,                 0.5398,                0.25897,                 1.8401,                 2.0413,                 2.5888,             0.00035382,             0.00035382,             0.00035382
                     22,                 1.1714,                  1.428,                 2.0009,                0.65601,                 0.5843,                0.59624,                0.33117,                 1.7326,                 2.0201,                 2.5361,             0.00029723,             0.00029723,             0.00029723
                     23,                 1.1572,                 1.3881,                 1.9568,                0.63087,                0.58429,                0.58018,                0.32041,                 1.6801,                 1.9878,                 2.4245,             0.00024064,             0.00024064,             0.00024064
                     24,                 1.1383,                 1.3515,                 1.9436,                0.68734,                0.64444,                0.66568,                0.34409,                 1.7343,                 1.7785,                 2.4902,             0.00018406,             0.00018406,             0.00018406
                     25,                 1.1058,                 1.3061,                 1.9227,                0.72164,                0.64444,                0.65928,                0.34059,                 1.6848,                  1.808,                 2.4517,             0.00012747,             0.00012747,             0.00012747
